Date,month-day,large sockeye,coho,pink,chum,large chinook,steelhead
2025-06-10,10-Jun,0,0,0,0,0.61,0
2025-06-11,11-Jun,1.56,0,0,0,0.91,0
2025-06-12,12-Jun,0.78,0,0,0,1.21,0
2025-06-13,13-Jun,0.39,0,0,0,0.3,0
2025-06-14,14-Jun,0,0,0,0,0,0
2025-06-15,15-Jun,0,0,0,0,0.61,0
2025-06-16,16-Jun,0.77,0,0,0,1.5,0
2025-06-17,17-Jun,1.05,0,0,0,0.2,0
2025-06-18,18-Jun,0.52,0,0,0,0.6,0
2025-06-19,19-Jun,0.39,0,0,0,0.61,0
2025-06-20,20-Jun,1.57,0,0,0,0.6,0
2025-06-21,21-Jun,2.34,0,0,0,2.22,0
2025-06-22,22-Jun,2.36,0,0,0,0.81,0
2025-06-23,23-Jun,1.81,0,0,0,0.8,0
2025-06-24,24-Jun,1.82,0,0,0,1.57,0
2025-06-25,25-Jun,4.23,0,0,0,2.99,0
2025-06-26,26-Jun,3.13,0,0,0,2.13,
2025-06-27,27-Jun,,,,,,
2025-06-28,28-Jun,,,,,,
2025-06-29,29-Jun,,,,,,
2025-06-30,30-Jun,,,,,,
2025-07-01,01-Jul,,,,,,
2025-07-02,02-Jul,,,,,,
2025-07-03,03-Jul,,,,,,
2025-07-04,04-Jul,,,,,,
2025-07-05,05-Jul,,,,,,
2025-07-06,06-Jul,,,,,,
2025-07-07,07-Jul,,,,,,
2025-07-08,08-Jul,,,,,,
2025-07-09,09-Jul,,,,,,
2025-07-10,10-Jul,,,,,,
2025-07-11,11-Jul,,,,,,
2025-07-12,12-Jul,,,,,,
2025-07-13,13-Jul,,,,,,
2025-07-14,14-Jul,,,,,,
2025-07-15,15-Jul,,,,,,
2025-07-16,16-Jul,,,,,,
2025-07-17,17-Jul,,,,,,
2025-07-18,18-Jul,,,,,,
2025-07-19,19-Jul,,,,,,
2025-07-20,20-Jul,,,,,,
2025-07-21,21-Jul,,,,,,
2025-07-22,22-Jul,,,,,,
2025-07-23,23-Jul,,,,,,
2025-07-24,24-Jul,,,,,,
2025-07-25,25-Jul,,,,,,
2025-07-26,26-Jul,,,,,,
2025-07-27,27-Jul,,,,,,
2025-07-28,28-Jul,,,,,,
2025-07-29,29-Jul,,,,,,
2025-07-30,30-Jul,,,,,,
2025-07-31,31-Jul,,,,,,
2025-08-01,01-Aug,,,,,,
2025-08-02,02-Aug,,,,,,
2025-08-03,03-Aug,,,,,,
2025-08-04,04-Aug,,,,,,
2025-08-05,05-Aug,,,,,,
2025-08-06,06-Aug,,,,,,
2025-08-07,07-Aug,,,,,,
2025-08-08,08-Aug,,,,,,
2025-08-09,09-Aug,,,,,,
2025-08-10,10-Aug,,,,,,
2025-08-11,11-Aug,,,,,,
2025-08-12,12-Aug,,,,,,
2025-08-13,13-Aug,,,,,,
2025-08-14,14-Aug,,,,,,
2025-08-15,15-Aug,,,,,,
2025-08-16,16-Aug,,,,,,
2025-08-17,17-Aug,,,,,,
2025-08-18,18-Aug,,,,,,
2025-08-19,19-Aug,,,,,,
2025-08-20,20-Aug,,,,,,
2025-08-21,21-Aug,,,,,,
2025-08-22,22-Aug,,,,,,
2025-08-23,23-Aug,,,,,,
2025-08-24,24-Aug,,,,,,
2025-08-25,25-Aug,,,,,,
2025-08-26,26-Aug,,,,,,
2025-08-27,27-Aug,,,,,,
2025-08-28,28-Aug,,,,,,
2025-08-29,29-Aug,,,,,,
2025-08-30,30-Aug,,,,,,
2025-08-31,31-Aug,,,,,,
2025-09-01,01-Sep,,,,,,
2025-09-02,02-Sep,,,,,,
2025-09-03,03-Sep,,,,,,
2025-09-04,04-Sep,,,,,,
2025-09-05,05-Sep,,,,,,
2025-09-06,06-Sep,,,,,,
2025-09-07,07-Sep,,,,,,
2025-09-08,08-Sep,,,,,,
2025-09-09,09-Sep,,,,,,
2025-09-10,10-Sep,,,,,,
2025-09-11,11-Sep,,,,,,
2025-09-12,12-Sep,,,,,,
2025-09-13,13-Sep,,,,,,
2025-09-14,14-Sep,,,,,,
2025-09-15,15-Sep,,,,,,
2025-09-16,16-Sep,,,,,,
2025-09-17,17-Sep,,,,,,
2025-09-18,18-Sep,,,,,,
2025-09-19,19-Sep,,,,,,
2025-09-20,20-Sep,,,,,,
2025-09-21,21-Sep,,,,,,
2025-09-22,22-Sep,,,,,,
2025-09-23,23-Sep,,,,,,
2025-09-24,24-Sep,,,,,,
2025-09-25,25-Sep,,,,,,
2025-09-26,26-Sep,,,,,,
2025-09-27,27-Sep,,,,,,
2025-09-28,28-Sep,,,,,,
2025-09-29,29-Sep,,,,,,
2025-09-30,30-Sep,,,,,,
2025-10-01,01-Oct,,,,,,
2025-10-02,02-Oct,,,,,,
2025-10-03,03-Oct,,,,,,
2025-10-04,04-Oct,,,,,,
2025-10-05,05-Oct,,,,,,
